Shiyo_Shubetsu_ID,Shiyo_Shubetsu_Nm,Koji_Kbn_ID,Seko_Tanka_Kbn_ID,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
401,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ,4,651,39,1,0,0,,
402,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能),4,651,40,1,0,0,,
403,単層ﾋﾞﾆﾙ床ﾀｲﾙ,4,651,41,1,0,0,,
404,複層ﾋﾞﾆﾙ床ﾀｲﾙ,4,651,42,1,0,0,,
405,複層ﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能),4,651,43,1,0,0,,
406,置敷ﾋﾞﾆﾙ床ﾀｲﾙ,4,651,44,1,0,0,,
407,薄型置敷きﾋﾞﾆﾙ床ﾀｲﾙ,4,651,45,1,0,0,,
408,多機能ﾌﾟﾘﾝﾄﾀｲﾙ,4,651,46,1,0,0,,
409,織物ﾋﾞﾆﾙ床ﾀｲﾙ,4,651,47,1,0,0,,
410,高機能ﾀｲﾙ,4,651,48,1,0,0,,
411,ﾘﾉﾘｳﾑ床ﾀｲﾙ,4,651,49,1,0,0,,
412,ｺﾙｸﾀｲﾙ,4,651,50,1,0,0,,
413,ﾗﾊﾞｰﾀｲﾙ,4,651,51,1,0,0,,
414,視覚障がい者誘導用ﾀｲﾙ,4,651,52,1,0,0,,
421,単層ﾋﾞﾆﾙ床ｼｰﾄ,4,651,53,1,0,0,,
422,単層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能),4,651,54,1,0,0,,
423,複層ﾋﾞﾆﾙ床ｼｰﾄ,4,651,55,1,0,0,,
424,複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能),4,651,56,1,0,0,,
425,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ,4,651,57,1,0,0,,
426,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能),4,651,58,1,0,0,,
427,ｸｯｼｮﾝﾌﾛｱ,4,651,59,1,0,0,,
428,織物ﾋﾞﾆﾙ床ｼｰﾄ,4,651,60,1,0,0,,
429,長尺ｼｰﾄ(特殊機能),4,651,61,1,0,0,,
430,ﾘﾉﾘｳﾑ床ｼｰﾄ,4,651,62,1,0,0,,
431,防滑性ﾋﾞﾆﾙ床ｼｰﾄ,4,651,63,1,0,0,,
432,防滑性ﾋﾞﾆﾙ床ｼｰﾄ(階段用),4,651,64,1,0,0,,
441,ﾀｲﾙｶｰﾍﾟｯﾄ,4,652,65,1,0,0,,
442,ﾀｲﾙｶｰﾍﾟｯﾄ(特殊機能),4,652,66,1,0,0,,
443,ｸﾞﾗﾌｨｶｶｰﾍﾟｯﾄﾀｲﾙ,4,652,67,1,0,0,,
444,ﾌｧﾌﾞﾃｯｸﾀｲﾙ,4,652,68,1,0,0,,
445,ﾌｧﾌﾞﾘｯｸﾌﾛｱ,4,652,69,1,0,0,,
446,住宅用ﾎｰﾑﾀｲﾙ,4,652,70,1,0,0,,
447,視覚障がい者誘導用ﾀｲﾙｶｰﾍﾟｯﾄ,4,652,71,1,0,0,,
451,ｱｷｽﾐﾝｽﾀｰｶｰﾍﾟｯﾄ,4,652,72,1,0,0,,
452,ｳｲﾙﾄﾝｶｰﾍﾟｯﾄ,4,652,73,1,0,0,,
453,ﾀﾌﾃｯﾄﾞｶｰﾍﾟｯﾄ,4,652,74,1,0,0,,
454,ｳｰﾙｶｰﾍﾟｯﾄ,4,652,75,1,0,0,,
455,ｶﾗｰﾃｯｸ,4,652,76,1,0,0,,
456,ｸﾞﾗﾌｨｶﾛｰﾙｶｰﾍﾟｯﾄ,4,652,77,1,0,0,,
457,ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝｶｰﾍﾟｯﾄ,4,652,78,1,0,0,,
458,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ,4,652,79,1,0,0,,
459,ｶﾗｰｺﾚｸｼｮﾝ,4,652,80,1,0,0,,
460,機能性ｶｰﾍﾟｯﾄ,4,652,81,1,0,0,,
461,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ,4,652,82,1,0,0,,
462,人工芝,4,652,83,1,0,0,,
463,ﾊｲｽﾍﾟｯｸﾀﾌﾄCYP,4,652,84,1,0,0,,
464,ﾊｲｽﾍﾟｯｸﾀﾌﾄｶﾗｰﾃｯｸ,4,652,85,1,0,0,,
465,ｳｰﾙﾀﾌﾄ,4,652,86,1,0,0,,
466,ﾅｲﾛﾝｸﾞﾗﾌｨｯｸﾀﾌﾄ,4,652,87,1,0,0,,
467,ｶﾗｰﾀﾌﾄ,4,652,88,1,0,0,,
468,ﾍﾞｰｼｯｸﾀﾌﾄ,4,652,89,1,0,0,,
471,床下地材,4,654,90,1,0,0,,
472,腰壁・他ｼｰﾄ,4,653,93,1,0,0,,
491,ｿﾌﾄ巾木,4,653,91,1,0,0,,
492,ｻｻﾗ巾木,4,653,92,1,0,0,,
493,ﾓｰﾙ･見切･他部材,4,653,94,1,0,0,,
494,ｴｱｺﾝ排水･他部材,4,653,95,1,0,0,,
571,量産品,5,661,96,1,0,0,,
572,一般品,5,661,97,1,0,0,,
573,中級品,5,661,98,1,0,0,,
574,高級品,5,661,99,1,0,0,,
575,特選品,5,661,100,1,0,0,,
576,和風,5,661,101,1,0,0,,
577,織物,5,661,102,1,0,0,,
578,不燃認定,5,661,103,1,0,0,,
579,環境対応,5,661,104,1,0,0,,
580,機能,5,661,105,1,0,0,,
581,扉用ﾘｱﾃｯｸ,5,661,106,1,0,0,,
582,掲示板用ｸﾛｽ,5,661,107,1,0,0,,
583,ｻﾝﾌｯﾄ,5,661,108,1,0,0,,
584,ｴｰｽｳｯﾄﾞ,5,661,109,1,0,0,,
585,ﾄﾘﾑ,5,661,110,1,0,0,,
586,ﾓｰﾙﾄﾞ,5,661,111,1,0,0,,
591,ｸﾛｽ(その他),5,661,112,1,0,0,,
601,石膏ﾎﾞｰﾄﾞ,2,621,1,1,0,0,,
602,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ,2,621,2,1,0,0,,
603,強化石膏ﾎﾞｰﾄﾞ,2,621,3,1,0,0,,
604,有孔石膏ﾎﾞｰﾄﾞ,2,621,5,1,0,0,,
605,化粧石膏ﾎﾞｰﾄﾞ,2,621,6,1,0,0,,
606,石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,621,7,1,0,0,,
607,化粧石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,621,8,1,0,0,,
608,ｹｲｶﾙ板,2,622,9,1,0,0,,
609,化粧繊維混入石膏板,2,622,16,1,0,0,,
610,化粧ｹｲｶﾙ板,2,623,17,1,0,0,,
611,化粧ﾌﾚｷ板,2,623,18,1,0,0,,
612,特殊UV塗料硬質ｾﾒﾝﾄ板,2,623,19,1,0,0,,
613,ﾒﾗﾐﾝ不燃化粧板,2,623,20,1,0,0,,
614,ﾌﾚｷ板,2,622,11,1,0,0,,
615,FGﾎﾞｰﾄﾞ,2,622,13,1,0,0,,
616,有孔ｹｲｶﾙ板,2,622,10,1,0,0,,
617,岩綿吸音板,2,624,15,1,0,0,,
618,合板,2,626,21,1,0,0,,
620,GW･RW,2,626,22,1,0,0,,
621,ﾊﾞｽﾊﾟﾈﾙ,2,626,23,1,0,0,,
622,ｽﾊﾟﾝﾄﾞﾚﾙ,2,626,24,1,0,0,,
623,ﾎﾞｰﾄﾞｶｯﾄ,2,626,32,1,0,0,,
624,労務補正,2,626,33,1,0,0,,
626,遮音材,2,626,25,1,0,0,,
628,補助材,2,626,26,1,0,0,,
629,ｼｰﾙ,2,626,27,1,0,0,,
630,廻り縁,2,626,28,1,0,0,,
631,見切･ｼﾞｮｲﾅｰ,2,626,29,1,0,0,,
632,出隅ｺｰﾅｰ,2,626,30,1,0,0,,
633,点検口,2,626,31,1,0,0,,
634,硬質石膏ﾎﾞｰﾄﾞ,2,621,4,1,0,0,,
642,有孔ﾌﾚｷ板,2,622,12,1,0,0,,
643,有孔FGﾎﾞｰﾄﾞ,2,622,14,1,0,0,,
681,吉野石膏,3,641,34,1,0,0,,
682,ﾁﾖﾀﾞｳｰﾃ,3,641,35,1,0,0,,
683,ﾆﾁｱｽ,3,641,36,1,0,0,,
684,A&Aﾏﾃﾘｱﾙ,3,641,37,1,0,0,,
685,耐火ｼｰﾙ,3,641,38,1,0,0,,
999,指定なし,91,691,107,1,0,0,,
